model,val_accuracy,val_macro_f1,cv_macro_f1_mean,cv_macro_f1_std,cv_stability_rank,selection_rank
RandomForest,0.996301775147929,0.9875108894127033,0.9940713410600995,0.0029676638193937175,1.0,4.0
ExtraTrees,0.981508875739645,0.9341723694658829,0.9235691507340056,0.006422244238565875,2.0,7.0
LogisticRegression,0.9704142011834319,0.919683226826084,0.9174813039373175,0.014059867787725347,3.0,10.0
GradientBoosting,1.0,1.0,,,,
