suburb,avg_purchase_price,median_purchase_price,sale_listings,avg_monthly_rent,median_monthly_rent,rental_listings,gross_yield_pct_est
Haddon,,,,3700.0,3700.0,1.0,
Halfway Gardens,1921833.3333333333,2140000.0,6.0,14445.454545454546,13000.0,11.0,9.02
Halfway House,2510545.0,2510545.0,2.0,15283.333333333334,8950.0,3.0,7.31
Helderfontein Estate,11747500.0,11747500.0,2.0,70000.0,67500.0,4.0,7.15
Highlands North,1599000.0,1599000.0,1.0,14000.0,14000.0,1.0,10.51
Hillbrow,,,,4390.25,4635.0,4.0,
Houghton Estate,2341666.6666666665,3000000.0,3.0,43416.666666666664,47500.0,6.0,22.25
Hurlingham,7039999.8,8500000.0,5.0,50000.0,55000.0,3.0,8.52
Hurlingham Manor,3290000.0,3290000.0,1.0,35375.0,30750.0,4.0,12.9
Hyde Park,7399960.0,3500000.0,5.0,62818.181818181816,52500.0,22.0,10.19
Illovo,1161166.6666666667,1100000.0,3.0,8625.0,8825.0,8.0,8.91
Jabulani,588725.0,572450.0,4.0,4650.0,4650.0,1.0,9.48
Jackal Creek Northriding,1139889.4736842106,760000.0,19.0,14500.0,18000.0,3.0,15.26
Jeppestown,750000.0,750000.0,1.0,4315.0,4200.0,3.0,6.9
Johannesburg Cbd,538333.3333333334,700000.0,3.0,4085.5714285714284,3700.0,28.0,9.11
Johannesburg North,,,,18500.0,18500.0,1.0,
Jukskei Park,2025000.0,2025000.0,2.0,16583.333333333332,15750.0,6.0,9.83
Jukskei View,,,,12333.333333333334,15000.0,3.0,
Kelvin,,,,22807.14285714286,25000.0,7.0,
Kengies,,,,18999.5,18999.5,2.0,
Kenilworth,699000.0,699000.0,1.0,,,,
Kensington,1200999.8,1300000.0,5.0,10670.833333333334,11000.0,12.0,10.66
Kensington B,550000.0,550000.0,1.0,6400.0,6400.0,1.0,13.96
Khyber Rock,6847500.0,6847500.0,2.0,,,,
Kibler Park,682110.0,690000.0,5.0,12650.0,9100.0,8.0,22.25
Killarney,1599999.5,1599999.5,2.0,13500.0,13500.0,1.0,10.13
Kya Sands,1491666.6666666667,1595000.0,3.0,7100.0,7100.0,2.0,5.71
Kyalami,5241112.363636363,3499000.0,11.0,19017.647058823528,15200.0,17.0,4.35
Kyalami Ah,18349750.0,18499500.0,4.0,17841.666666666668,16500.0,12.0,1.17
Kyalami Estate,,,,43750.0,43750.0,2.0,
Kyalami Hills,2722500.0,2722500.0,2.0,14833.333333333334,13000.0,3.0,6.54
Lanseria And Surrounds,3783000.0,4800000.0,3.0,11100.0,14000.0,3.0,3.52
Lawley,368000.0,399000.0,4.0,4500.0,4500.0,1.0,14.67
Lenasia,1286111.111111111,730000.0,9.0,5250.0,5250.0,2.0,4.9
Lenasia South,1036333.2222222222,749000.0,9.0,,,,
Liefde En Vrede,2750000.0,2750000.0,1.0,,,,
Linbro Park,961142.8571428572,790000.0,7.0,11190.0,12250.0,5.0,13.97
Linden,3240666.6666666665,2737000.0,6.0,15800.0,15800.0,2.0,5.85
Linksfield,8950000.0,8950000.0,1.0,43625.0,40000.0,4.0,5.85
Linmeyer,650000.0,650000.0,1.0,11500.0,11500.0,1.0,21.23
Lombardy East,,,,12100.0,12000.0,3.0,
Lonehill,2117923.0384615385,1924500.0,26.0,23966.666666666668,21500.0,12.0,13.58
Lyndhurst,1624500.0,1624500.0,2.0,13250.0,13250.0,2.0,9.79
Magaliessig,1904450.0,1904450.0,2.0,25000.0,25000.0,1.0,15.75
Malanshof,675000.0,675000.0,1.0,14000.0,14000.0,1.0,24.89
Maroeladal,3200000.0,3200000.0,1.0,36000.0,36000.0,1.0,13.5
Marshalltown,555000.0,555000.0,2.0,4630.263157894737,4700.0,19.0,10.01
Meadowlands,749000.0,749000.0,2.0,6500.0,6500.0,1.0,10.41
Melrose,2433333.3333333335,2220000.0,3.0,,,,
Melrose Arch,3762497.5,3762497.5,2.0,37000.0,37000.0,1.0,11.8
Melrose Estate,19750000.0,19750000.0,1.0,,,,
Melrose North,,,,36000.0,36000.0,1.0,
Melville,1945000.0,1945000.0,2.0,12903.333333333334,14245.0,6.0,7.96
Meredale,,,,7200.0,7200.0,1.0,
Moffat View,750000.0,750000.0,1.0,,,,
Mondeor,682499.75,684999.5,4.0,13840.0,13400.0,5.0,24.33
Montgomery Park,1862000.0,2149500.0,4.0,10350.0,10350.0,2.0,6.67
Morninghill,,,,17950.0,17950.0,2.0,
Morningside,3338714.6,2099500.0,30.0,35453.125,25500.0,32.0,12.74
Morningside Manor,5749500.0,5749500.0,2.0,,,,
Mulbarton,690000.0,690000.0,1.0,11200.0,11200.0,1.0,19.48
Naledi,705000.0,705000.0,2.0,,,,
Naturena,988625.0,735000.0,8.0,10166.666666666666,6500.0,3.0,12.34
New Doornfontein,,,,2950.0,2950.0,2.0,
Newlands,905666.6666666666,899000.0,3.0,,,,
Newtown,650000.0,650000.0,1.0,,,,
Nooitgedacht,1549628.642857143,1631489.0,14.0,25000.0,25000.0,1.0,19.36
Noordhang,894454.5454545454,749000.0,11.0,9500.0,9500.0,1.0,12.75
Noordwyk,1008102.380952381,900000.0,21.0,11118.225806451614,9500.0,31.0,13.23
Norscot,,,,11500.0,11500.0,1.0,
North Riding,1169473.6842105263,999000.0,19.0,14642.76923076923,8990.0,13.0,15.02
Northcliff,5941555.5,4645000.0,18.0,10483.333333333334,12000.0,3.0,2.12
Northgate,580000.0,540000.0,3.0,10600.0,9000.0,3.0,21.93
Northwold,950000.0,950000.0,1.0,8500.0,8500.0,1.0,10.74
Norwood,2450000.0,2450000.0,1.0,12500.0,12500.0,2.0,6.12
Oakdene,1850052.5,1850052.5,2.0,5300.0,5300.0,1.0,3.44
Oaklands,,,,8556.666666666666,8590.0,3.0,
Observatory,2055000.0,2055000.0,2.0,6250.0,6250.0,2.0,3.65
Olifantsfontein,,,,36000.0,48000.0,3.0,
Olivedale,1183725.0,1312450.0,4.0,25050.0,28000.0,5.0,25.39
Orange Grove,1250000.0,1250000.0,1.0,,,,
Orchards,1150000.0,1150000.0,1.0,,,,
Orlando,906050.0,760000.0,3.0,2200.0,2200.0,1.0,2.91
Ormonde,740000.0,740000.0,2.0,9745.454545454546,8500.0,11.0,15.8
Parkhurst,3774500.0,3774500.0,2.0,26500.0,26500.0,2.0,8.42
Parkmore,1932250.0,1490000.0,4.0,26203.846153846152,29500.0,13.0,16.27
Parktown,4900000.0,4900000.0,1.0,7190.0,7190.0,1.0,1.76
Parktown North,1290000.0,1290000.0,1.0,7500.0,7500.0,1.0,6.98
Parkview,,,,21500.0,21500.0,2.0,
Parkwood,1399000.0,1399000.0,1.0,,,,
Paulshof,1337521.6956521738,949999.0,23.0,14399.857142857143,8000.0,7.0,12.92
Petervale,2750000.0,2750000.0,2.0,,,,
Pimville,911050.0,850000.0,3.0,6114.285714285715,6700.0,7.0,8.05
Pineslopes,,,,9300.0,9300.0,1.0,
President Park,1225000.0,1225000.0,2.0,,,,
Protea Glen,849621.9565217391,765000.0,46.0,4961.538461538462,5000.0,13.0,7.01
Protea North,795000.0,795000.0,2.0,3000.0,3000.0,1.0,4.53
Quellerina,3019250.0,2439500.0,4.0,20000.0,20000.0,2.0,7.95
Randpark,3999000.0,3999000.0,1.0,20500.0,20500.0,1.0,6.15
Randpark Ridge,1349666.6666666667,830000.0,3.0,15166.666666666666,17000.0,3.0,13.48
Regents Park,730000.0,730000.0,1.0,,,,
Rembrandt Park,,,,6160.0,6000.0,3.0,
Ridgeway,1322500.0,1322500.0,2.0,25000.0,25000.0,1.0,22.68
River Club,6149999.333333333,3999999.0,3.0,35000.0,35000.0,1.0,6.83
Riverlea,818200.0,730000.0,10.0,10000.0,10000.0,1.0,14.67
Riverside View,530000.0,530000.0,1.0,8000.0,8000.0,1.0,18.11
Rivonia,1551914.2857142857,1421900.0,7.0,17036.25,10322.5,4.0,13.17
Robertsham,1475000.0,1475000.0,1.0,8100.0,8100.0,2.0,6.59
Robin Hills,,,,21000.0,21000.0,1.0,
Robindale,1390000.0,1390000.0,2.0,,,,
Roosevelt Park,2965000.0,2995000.0,3.0,13849.0,13849.0,2.0,5.6
Rosebank,2547153.846153846,2410000.0,13.0,18570.833333333332,20000.0,12.0,8.75
Rosettenville,667545.4545454546,730000.0,11.0,4647.5,4495.0,4.0,8.35
Saddlebrook Estate,12066333.333333334,12999000.0,3.0,,,,
Sagewood,917714.1428571428,765000.0,7.0,7466.666666666667,7500.0,3.0,9.76
Sandhurst,3700000.0,1050000.0,3.0,93375.0,75000.0,4.0,30.28
Sandown,5280727.2727272725,2099000.0,11.0,26630.666666666668,18000.0,15.0,6.05
Sandringham,1655000.0,1655000.0,1.0,23000.0,24000.0,3.0,16.68
Sandton Central,5922647.05882353,5500000.0,17.0,25916.666666666668,19750.0,6.0,5.25
Savoy Estate,2980000.0,2980000.0,1.0,23625.0,21500.0,4.0,9.51
Sharonlea,1810000.0,1810000.0,2.0,24500.0,24500.0,1.0,16.24
Sol Plaatjie,320000.0,320000.0,1.0,,,,
Sonneglans,715000.0,715000.0,2.0,,,,
Sophiatown,947000.0,1079000.0,4.0,,,,
South Hills,845443.2222222222,720000.0,9.0,6800.0,6800.0,2.0,9.65
Soweto Central,691800.0,749500.0,10.0,4300.0,4800.0,3.0,7.46
St Andrews,,,,36666.666666666664,35000.0,3.0,
Steyn City,21581666.666666668,19750000.0,3.0,120000.0,120000.0,1.0,6.67
Strathavon,,,,7482.0,7390.0,5.0,
Suideroord,1350000.0,1350000.0,1.0,14125.0,13250.0,4.0,12.56
Summerset,3444750.0,2824500.0,4.0,13487.25,12499.5,4.0,4.7
