source_site,listing_id,listing_url,title,purchase_price,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug,purchase_price_Rands
privateproperty,T5376723,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/randburg/ferndale/000-randpresident-place/340-pretoria-avenue/T5376723,1.5 Bedroom Apartment in Ferndale,3500000.0,Ferndale,Randburg,Gauteng,Apartment,1.5,1.0,,,69.0,,1852.1,549.0,"1.5 Bedroom Apartment in Ferndale, randpresident place, 340 pretoria avenue, Beautiful High-Rise Unit Perfect for an Aspiring First-Time Property Owner This high-rise unit is",4 Feb 2026,2026-03-27T16:16:47.906459+00:00,for-sale,gauteng,johannesburg-metro,randburg,ferndale,350000.0
privateproperty,T5330753,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/waterfall-estate/777-mia-drive/T5330753,2 Bedroom Apartment in Waterfall Estate,33999990.0,Waterfall Estate,Midrand,Gauteng,Apartment,2.0,2.0,2.0,,95.0,,3000.0,2000.0,"2 Bedroom Apartment in Waterfall Estate, 777 mia drive, Experience elevated luxury in this stunning 2-bed, 2-bath penthouse set within the iconic Munyaka Li",10 Dec 2025,2026-03-27T16:16:44.654117+00:00,for-sale,gauteng,johannesburg-metro,midrand,waterfall-estate,3399999.0
privateproperty,T5194756,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/kyalami/235-the-woods-kyalami/7-colt-street/T5194756,2 Bedroom Apartment in Kyalami,14540000.0,Kyalami,Midrand,Gauteng,Apartment,2.0,2.0,1.0,,79.0,,1280.0,3405.1666666666665,"2 Bedroom Apartment in Kyalami, 235 the woods, kyalami, 7 colt street, 2 Bedroom, 2 Bathroom Apartment for Sale Kyalami Discover sleek, contemporary living in this 2 bed",18 Aug 2025,2026-03-27T16:16:40.972185+00:00,for-sale,gauteng,johannesburg-metro,midrand,kyalami,1454000.0
privateproperty,T5159801,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/noordwyk/240-the-austin/55-austin-road/T5159801,2 Bedroom Apartment in Noordwyk,12759000.0,Noordwyk,Midrand,Gauteng,Apartment,2.0,2.0,1.0,,80.0,,1817.0,618.0,"2 Bedroom Apartment in Noordwyk, 240 the austin, 55 austin road, Welcome to a place where modern comfort meets cozy living. This thoughtfully designed 80.6sqm unit a",21 Jul 2025,2026-03-27T16:16:36.621070+00:00,for-sale,gauteng,johannesburg-metro,midrand,noordwyk,1275900.0
privateproperty,T5399651,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/illovo/2102-circa-illovo/196-oxford-road/T5399651,1 Bedroom Apartment in Illovo,10480000.0,Illovo,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,30.0,,1041.0,569.0,"1 Bedroom Apartment in Illovo, 2102 circa illovo, 196 oxford road, Prime Illovo Location Opposite the Wanderers Golf Course and within walking distance to Melrose Arch",23 Feb 2026,2026-03-27T16:16:33.879602+00:00,for-sale,gauteng,johannesburg-metro,sandton,illovo,1048000.0
privateproperty,T5335815,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/johannesburg-south/glenanda/207-glenvale/8-amanda-avenue/T5335815,2 Bedroom Apartment in Glenanda,9600000.0,Glenanda,Johannesburg South,Gauteng,Apartment,2.0,2.0,4.0,,84.0,,1300.0,770.0,"2 Bedroom Apartment in Glenanda, 207 glenvale, 8 amanda avenue, Elegant, Spacious Modern Apartment In Gleneagles Step into the epitome of modern living with this b",16 Dec 2025,2026-03-27T16:16:30.706975+00:00,for-sale,gauteng,johannesburg-metro,johannesburg-south,glenanda,960000.0
privateproperty,T5346073,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/grand-central/10-diagonal-street/T5346073,2 Bedroom Apartment in Grand Central,8200000.0,Grand Central,Midrand,Gauteng,Apartment,2.0,1.0,1.0,,58.0,,1400.0,350.0,"2 Bedroom Apartment in Grand Central, 10 diagonal street, Experience elevated city living at Cussonia Central A striking new development redefining Midrands s",9 Jan 2026,2026-03-27T16:16:28.118838+00:00,for-sale,gauteng,johannesburg-metro,midrand,grand-central,820000.0
privateproperty,T5291172,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/vorna-valley/93-berger-rd/T5291172,2 Bedroom Apartment in Vorna Valley,7550000.0,Vorna Valley,Midrand,Gauteng,Apartment,2.0,1.0,1.0,,80.0,80.0,1557.6666666666667,2614.0,"2 Bedroom Apartment in Vorna Valley, 93 berger rd, Modern 2-Bedroom Apartment for Sale in Vorna Valley Welcome to this charming 2-bedroom, 1-bathroom",4 Nov 2025,2026-03-27T16:16:24.901499+00:00,for-sale,gauteng,johannesburg-metro,midrand,vorna-valley,755000.0
privateproperty,T5111519,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandown/0-the-augustus-complex/151-linden-road/T5111519,1 Bedroom Apartment in Sandown,7200000.0,Sandown,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,48.0,,1500.0,550.0,"1 Bedroom Apartment in Sandown, the augustus complex, 151 linden road, Lovely neat 1 bed 1 bath lounge dining area balcony 1st floor apartment in The Augustus Complex on 1",10 Jun 2025,2026-03-27T16:16:21.382786+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandown,720000.0
privateproperty,T5162420,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/halfway-gardens/00-ville-roy-court/43-invicta-road/T5162420,2 Bedroom Apartment in Halfway Gardens,6600000.0,Halfway Gardens,Midrand,Gauteng,Apartment,2.0,1.0,1.0,1.0,89.0,,1900.0,600.0,"2 Bedroom Apartment in Halfway Gardens, ville roy court, 43 invicta road, Ville Roy Court One- bedroom with a loft upstairs...... This property is situated in Ville Roy Cou",22 Jul 2025,2026-03-27T16:16:18.045827+00:00,for-sale,gauteng,johannesburg-metro,midrand,halfway-gardens,660000.0
