source_site,listing_url,title,purchase_price,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug,purchase_price_rands,rent_median_city,rent_mean_city,rent_count_city,rent_median_province,rent_mean_province,rent_count_province,estimated_monthly_rent,rent_estimation_source,deposit_pct,deposit_amount,transfer_cost_rate,transfer_costs,total_cash_invested,loan_amount,annual_interest_rate,loan_term_years,bond_payment,other_income,gross_income,levies_clean,rates_taxes_clean,maintenance_rate,vacancy_rate,maintenance_cost,vacancy_cost,total_expenses,NOI,cash_flow,annual_rent,rental_yield,annual_cash_flow,payments_made_12m,remaining_balance_12m,equity_12m,investment_label,rent_median_suburb_type_bed_missing_flag,rent_mean_suburb_type_bed_missing_flag,rent_count_suburb_type_bed_missing_flag,rent_median_suburb_bed_missing_flag,rent_mean_suburb_bed_missing_flag,rent_count_suburb_bed_missing_flag,rent_median_suburb_missing_flag,rent_mean_suburb_missing_flag,rent_count_suburb_missing_flag,rent_median_city_type_bed_missing_flag,rent_mean_city_type_bed_missing_flag,rent_count_city_type_bed_missing_flag,rent_estimate_final_median,rent_estimate_final_mean,rent_estimate_source,rent_estimate_confidence_score,rent_count_final,rent_count_band,garage_missing_flag,land_area_sqm_missing_flag,floor_area_sqm_missing_flag,parking_spaces_missing_flag,monthly_rent_estimate,annual_rent_estimate,annual_gross_income,price_per_bedroom,price_per_bathroom,price_per_parking,price_per_sqm_floor,price_per_sqm_land,rent_per_bedroom,rent_per_bathroom,rent_per_sqm_floor,annual_rent_to_price,price_to_annual_rent,gross_income_to_price,loan_to_value,deposit_to_price,cash_invested_to_price,bond_to_rent_ratio,bond_to_income_ratio,equity_to_cash_invested_12m,expense_to_income_ratio,noi_margin,cashflow_margin,levies_to_income_ratio,rates_to_income_ratio,maintenance_to_income_ratio,vacancy_to_income_ratio,annual_cashflow_to_cash_invested,noi_to_price,cashflow_to_price,equity_gain_ratio_12m,bathroom_bedroom_ratio,parking_bedroom_ratio,floor_to_land_ratio,suburb_avg_price,suburb_avg_rent,suburb_avg_yield,price_vs_suburb_avg,rent_vs_suburb_avg,yield_vs_suburb_avg,city_avg_price,city_avg_rent,city_avg_yield,price_vs_city_avg,rent_vs_city_avg,yield_vs_city_avg,province_avg_price,province_avg_rent,province_avg_yield,price_vs_province_avg,rent_vs_province_avg,yield_vs_province_avg,rent_support_score,high_rent_confidence_flag,low_rent_confidence_flag,negative_cashflow_flag,weak_dscr_flag,high_expense_ratio_flag,high_ltv_flag,low_yield_flag,low_roi_flag,yield_x_dscr,cashflow_x_roi,rent_strength_x_price_discount,rental_yield_capped,rental_yield_log,ROI_capped,ROI_log,cash_flow_scaled,expense_to_income_capped,expense_to_income_log,price_per_sqm_floor_capped,price_per_sqm_floor_log,rent_per_bedroom_capped,rent_per_bedroom_log
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/broadacres/T5332132,2 Bedroom Apartment in Broadacres,890000.0,Broadacres,Sandton,Gauteng,Apartment,2.0,2.0,1.0,1.0,85.0,5.0,2693.0,840.0,"2 Bedroom Apartment in Broadacres, Airbnb Opportunity Spacious Upstairs Two Bed Two Bath Apartment Airbnb Opportunity Spacious Upstair",11 Dec 2025,2026-03-27T16:32:22.940146+00:00,for-sale,gauteng,johannesburg-metro,sandton,broadacres,890000.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,10700.0,suburb_property_type_bedrooms,0.1,89000.0,0.08,71200.0,160200.0,801000.0,0.11,20,8267.82902293219,0.0,10700.0,2693.0,840.0,0.08,0.05,856.0,535.0,4924.0,5776.0,-2491.82902293219,128400.0,0.1442696629213483,-29901.94827518628,12,789318.7638947598,100681.23610524018,Weak Investment,0,0,0,0,0,0,0,0,0,0,0,0,10700.0,12899.923076923076,suburb_type_bed,5,13.0,high,1,0,0,0,10700.0,128400.0,128400.0,445000.0,445000.0,890000.0,10470.588235294117,178000.0,5350.0,5350.0,125.88235294117646,0.14426966292134832,6.931464174454828,0.14426966292134832,0.9,0.1,0.18,0.7726943012086159,0.7726943012086159,0.6284721354883906,0.4601869158878505,0.5398130841121496,-0.23288121709646636,0.2516822429906542,0.07850467289719626,0.08,0.05,-0.18665385939566967,0.07787865168539326,-0.033597694691220543,0.11312498438791031,1.0,0.5,17.0,1907428.5714285714,16295.238095238095,0.13485553843106693,0.4665967645296585,0.6566335476329632,1.0698089570499436,2073319.3540041067,18075.79199178645,0.16818099316457003,0.42926334444386666,0.5919519324443447,0.8578238254317847,1637326.146076146,14128.548951048951,0.1772200161022868,0.5435691613017272,0.7573318418665772,0.8140709277335783,14063.0,1,0,1,1,0,0,1,1,0.1007884380195101,465.1095040844338,1.4072826850714808,0.1442696629213483,0.13476658451701123,-0.1866538593956696,-0.17113746349348974,-7.8211734983125165,0.4601869158878505,0.37856445210651735,10470.588235294117,9.256420986275613,5350.0,8.585038738311304
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/sundowner/T5405954,2 Bedroom Apartment in Sundowner,885000.0,Sundowner,North Riding To Lanseria,Gauteng,Apartment,2.0,1.0,1.0,1.0,105.0,180.934702041675,1741.5,446.0,"2 Bedroom Apartment in Sundowner, High-demand, low-maintenance, a prime investment opportunity Whether you are stepping onto the pro",27 Feb 2026,2026-03-27T16:32:19.698613+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,sundowner,885000.0,10613.0,15140.497975708502,494,12400.0,19322.0406,10000,18200.0,suburb_bedrooms,0.1,88500.0,0.08,70800.0,159300.0,796500.0,0.11,20,8221.380545275268,0.0,18200.0,1741.5,446.0,0.08,0.05,1456.0,910.0,4553.5,13646.5,5425.119454724732,218400.0,0.2467796610169491,65101.43345669679,12,784884.3888166994,100115.6111833006,Strong Investment,1,1,1,0,0,0,0,0,0,0,0,0,18200.0,17883.333333333332,suburb_bed,4,6.0,medium,1,1,0,0,18200.0,218400.0,218400.0,442500.0,885000.0,885000.0,8428.57142857143,4891.267346803138,9100.0,18200.0,173.33333333333334,0.24677966101694915,4.052197802197802,0.24677966101694915,0.9,0.1,0.18,0.45172420578435535,0.45172420578435535,0.6284721354883904,0.2501923076923077,0.7498076923076923,0.29808348652333694,0.09568681318681319,0.024505494505494507,0.08,0.05,0.4086718986609968,0.18503728813559323,0.07356094175897943,0.11312498438791029,0.5,0.5,0.5803198547054571,1156713.2653061224,18840.30612244898,0.37261086345267946,0.7650988594531127,0.9660140276762261,0.6622986209533567,1354641.1497175142,13953.31450094162,0.21041859756695308,0.6533095500491408,1.3043495865281183,1.172803468279111,1637326.146076146,14128.548951048951,0.1772200161022868,0.5405154019685714,1.288171917941281,1.3925044498050054,10549.0,1,0,0,0,0,0,1,0,0.40962446945764625,2217.093868025068,1.2626002715083462,0.2467796610169491,0.22056395583040087,0.4086718986609968,0.3426473446653298,8.598979508222534,0.2501923076923077,0.22329738563495005,8428.57142857143,9.039501210862689,9100.0,9.116139576577355
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/jackal-creek-northriding/jackal-creek-golf-estate/T5374159,2 Bedroom Apartment in Jackal Creek Golf Estate,880000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,2.0,2.0,3.0,1.0,71.0,180.934702041675,2696.0,540.0,"2 Bedroom Apartment in Jackal Creek Golf Estate, Sunningdale Ground-Floor Apartment with Garden Views Wake up to serene views of lush indigenous ga",3 Feb 2026,2026-03-27T16:32:15.389505+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,jackal-creek-northriding,880000.0,10613.0,15140.497975708502,494,12400.0,19322.0406,10000,6650.0,suburb_property_type_bedrooms,0.1,88000.0,0.08,70400.0,158400.0,792000.0,0.11,20,8174.932067618345,0.0,6650.0,2696.0,540.0,0.08,0.05,532.0,332.5,4100.5,2549.5,-5625.432067618345,79800.0,0.0906818181818181,-67505.18481142014,12,780450.013738639,99549.98626136105,Weak Investment,0,0,0,0,0,0,0,0,0,0,0,0,6650.0,6650.0,suburb_type_bed,5,2.0,very_low,1,1,0,0,6650.0,79800.0,79800.0,440000.0,440000.0,293333.3333333333,12394.366197183099,4863.63306800764,3325.0,3325.0,93.66197183098592,0.09068181818181818,11.027568922305765,0.09068181818181818,0.9,0.1,0.18,1.2293130928749392,1.2293130928749392,0.6284721354883904,0.6166165413533835,0.38338345864661655,-0.8459296342283226,0.40541353383458645,0.081203007518797,0.08,0.05,-0.42616909603169284,0.03476590909090909,-0.0767104372857047,0.11312498438791029,1.0,1.5,0.39240675889607096,1167585.5555555555,10521.944444444445,0.18997678382885086,0.7536920920379854,0.6320124607302199,0.4773310525327816,1354641.1497175142,13953.31450094162,0.21041859756695308,0.6496185356420835,0.4765892720006586,0.4309591415890131,1637326.146076146,14128.548951048951,0.1772200161022868,0.5374616426354156,0.47067820078623723,0.5116906102157157,10563.0,1,0,1,1,1,0,1,1,0.028280760444520762,2397.3852990446067,0.8385552500905994,0.0906818181818181,0.08680302195189292,-0.4261690960316928,-0.35499189562935884,-8.635230784468954,0.6166165413533835,0.4803354104521838,12394.366197183099,9.425077987976653,3325.0,8.109525659752872
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/johannesburg-central/braamfontein/T5078482,2 Bedroom Apartment in Braamfontein,860000.0,Braamfontein,Johannesburg Central,Gauteng,Apartment,2.0,1.0,2.0,1.0,90.0,180.934702041675,2517.0,568.0,"2 Bedroom Apartment in Braamfontein, A Rare gem in the heart of Johannesburg I''m excited to share details about a stunning apartment no",15 May 2025,2026-03-27T16:32:11.817664+00:00,for-sale,gauteng,johannesburg-metro,johannesburg-central,braamfontein,860000.0,5900.0,9605.523189585028,1229,12400.0,19322.0406,10000,4900.0,suburb_property_type_bedrooms,0.1,86000.0,0.08,68800.0,154800.0,774000.0,0.11,20,7989.138156990655,0.0,4900.0,2517.0,568.0,0.08,0.05,392.0,245.0,3722.0,1178.0,-6811.138156990655,58800.0,0.0683720930232558,-81733.65788388786,12,762712.5134263971,97287.48657360287,Weak Investment,0,0,0,0,0,0,0,0,0,0,0,0,4900.0,5544.0,suburb_type_bed,5,25.0,high,1,1,0,1,4900.0,58800.0,58800.0,430000.0,860000.0,430000.0,9555.555555555555,4753.095952825648,2450.0,4900.0,54.44444444444444,0.06837209302325581,14.625850340136054,0.06837209302325581,0.9,0.1,0.18,1.6304363585695214,1.6304363585695214,0.6284721354883906,0.7595918367346939,0.24040816326530612,-1.3900281953042153,0.5136734693877552,0.11591836734693878,0.08,0.05,-0.5279952059682679,0.016437209302325582,-0.09503913707428821,0.11312498438791031,0.5,1.0,0.4974170183189632,1024333.3333333334,5604.166666666667,0.07013215419356765,0.8395704523267166,0.8743494423791821,0.9749036488248456,1045427.0120967742,9943.179435483871,0.18966151373730222,0.8226303606553363,0.49280011809035085,0.36049534602975447,1637326.146076146,14128.548951048951,0.1772200161022868,0.5252466053027925,0.34681551636880636,0.38580344662531346,11597.0,1,0,1,1,1,0,1,1,0.010081478627443581,3596.2482940786094,1.041424742802801,0.0683720930232558,0.06613608156738975,-0.5279952059682679,-0.4239565532840849,-8.826461322990692,0.7595918367346939,0.565081871208362,9555.555555555555,9.164982643586665,2450.0,7.804251383528112
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/lonehill/T4938016,2 Bedroom Apartment in Lonehill,850000.0,Lonehill,Sandton,Gauteng,Apartment,2.0,1.0,1.0,1.0,67.0,67.0,2103.0,830.0,"2 Bedroom Apartment in Lonehill, FOR SALE: 2-BEDROOM UNIT IN LONEHILL Bank-Assisted Sale This modern 2-bedroom, 1-bathroom unit in t",29 Jan 2025,2026-03-27T16:32:08.500709+00:00,for-sale,gauteng,johannesburg-metro,sandton,lonehill,850000.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,7700.0,suburb_property_type_bedrooms,0.1,85000.0,0.08,68000.0,153000.0,765000.0,0.11,20,7896.241201676811,0.0,7700.0,2103.0,830.0,0.08,0.05,616.0,385.0,3934.0,3766.0,-4130.241201676811,92400.0,0.1087058823529411,-49562.89442012174,12,753843.7632702762,96156.23672972377,Weak Investment,0,0,0,0,0,0,0,0,0,0,0,0,7700.0,13850.0,suburb_type_bed,5,5.0,low,1,0,0,0,7700.0,92400.0,92400.0,425000.0,850000.0,850000.0,12686.567164179105,12686.567164179105,3850.0,7700.0,114.92537313432835,0.10870588235294118,9.1991341991342,0.10870588235294118,0.9,0.1,0.18,1.0254858703476377,1.0254858703476377,0.6284721354883906,0.5109090909090909,0.4890909090909091,-0.5363949612567287,0.2731168831168831,0.10779220779220779,0.08,0.05,-0.3239404864060244,0.053167058823529414,-0.0583092875530844,0.11312498438791031,0.5,0.5,1.0,2114823.2891566264,17568.47389558233,0.14841231340743913,0.40192483426781855,0.43828508075116296,0.732458647514703,2073319.3540041067,18075.79199178645,0.16818099316457003,0.40997060986211986,0.42598410091789296,0.6463624712131959,1637326.146076146,14128.548951048951,0.1772200161022868,0.519139086636481,0.5449958114366957,0.6133950596765485,14050.0,1,0,1,1,1,0,1,1,0.05184572538820631,1337.952343845389,1.0904652894852378,0.1087058823529411,0.10319346341296004,-0.3239404864060244,-0.2806125066601495,-8.326333173897714,0.5109090909090909,0.4127115166289315,12686.567164179105,9.448377829498535,3850.0,8.25608813381491
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/petervale/T5278116,1 Bedroom Apartment in Petervale,850000.0,Petervale,Sandton,Gauteng,Apartment,1.0,1.0,1.0,1.0,44.0,44.0,2000.0,1800.0,"1 Bedroom Apartment in Petervale, Stunning 1-Bed, 1-Bath Top-Floor Apartment Experience modern living at its finest in this immaculat",23 Oct 2025,2026-03-27T16:32:05.900476+00:00,for-sale,gauteng,johannesburg-metro,sandton,petervale,850000.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,8700.0,city_property_type_bedrooms,0.1,85000.0,0.08,68000.0,153000.0,765000.0,0.11,20,7896.241201676811,0.0,8700.0,2000.0,1800.0,0.08,0.05,696.0,435.0,4931.0,3769.0,-4127.241201676811,104400.0,0.1228235294117647,-49526.89442012174,12,753843.7632702762,96156.23672972377,Weak Investment,1,1,1,1,1,1,1,1,1,0,0,0,8700.0,11180.76059850374,city_type_bed,2,401.0,high,1,0,0,0,8700.0,104400.0,104400.0,850000.0,850000.0,850000.0,19318.18181818182,19318.18181818182,8700.0,8700.0,197.72727272727272,0.1228235294117647,8.14176245210728,0.1228235294117647,0.9,0.1,0.18,0.9076139312272197,0.9076139312272197,0.6284721354883906,0.5667816091954023,0.4332183908045977,-0.474395540422622,0.22988505747126436,0.20689655172413793,0.08,0.05,-0.32370519228837735,0.05320941176470588,-0.058266934611907927,0.11312498438791031,1.0,1.0,1.0,2713260.8695652173,20130.434782608696,0.12393758844360049,0.3132761797932858,0.4321814254859611,0.9910111286993231,2073319.3540041067,18075.79199178645,0.16818099316457003,0.40997060986211986,0.4813067114267102,0.7303056492928324,1637326.146076146,14128.548951048951,0.1772200161022868,0.519139086636481,0.6157744882466563,0.6930567557384384,13956.0,1,0,1,1,1,0,1,1,0.05862560052682244,1336.0094068093056,1.3795540592046753,0.1228235294117647,0.11584652129934422,-0.3237051922883773,-0.28043476828665037,-8.325606736093158,0.5667816091954023,0.44902358492816796,19318.18181818182,9.868853757914374,8700.0,9.071193240566025
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sunninghill/T4209698,2 Bedroom Apartment in Sunninghill,849000.0,Sunninghill,Sandton,Gauteng,Apartment,2.0,1.0,1.0,1.0,108.0,108.0,3500.0,856.0,"2 Bedroom Apartment in Sunninghill, Gorgeous Two Bed Loft SOLE MANDATE - NEW RELEASE - PRICED TO SELL Inviting serious buyers to view",12 Jun 2023,2026-03-27T16:32:03.081591+00:00,for-sale,gauteng,johannesburg-metro,sandton,sunninghill,849000.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,8100.0,suburb_property_type_bedrooms,0.1,84900.0,0.08,67920.0,152820.0,764100.0,0.11,20,7886.951506145426,0.0,8100.0,3500.0,856.0,0.08,0.05,648.0,405.0,5409.0,2691.0,-5195.951506145426,97200.0,0.1144876325088339,-62351.41807374511,12,752956.8882546641,96043.11174533586,Weak Investment,0,0,0,0,0,0,0,0,0,0,0,0,8100.0,8213.513513513513,suburb_type_bed,5,37.0,high,0,0,0,0,8100.0,97200.0,97200.0,424500.0,849000.0,849000.0,7861.111111111111,7861.111111111111,4050.0,8100.0,75.0,0.11448763250883393,8.734567901234568,0.11448763250883393,0.9,0.1,0.18,0.9736977168080773,0.9736977168080773,0.6284721354883906,0.6677777777777778,0.3322222222222222,-0.6414754945858551,0.43209876543209874,0.10567901234567902,0.08,0.05,-0.4080056149309325,0.038035335689045935,-0.07344101068756785,0.11312498438791031,0.5,0.5,1.0,1138617.97752809,10384.550561797752,0.13702865574810194,0.7456407827348353,0.7800048689442506,0.8355013911783173,2073319.3540041067,18075.79199178645,0.16818099316457003,0.4094882914975762,0.44811314512141986,0.680740613755351,1637326.146076146,14128.548951048951,0.1772200161022868,0.5185283347698499,0.5733072821606799,0.6460197613499516,14217.0,1,0,1,1,1,0,1,1,0.03906277588257195,2119.9773894161694,1.0460866505764022,0.1144876325088339,0.10839477688570037,-0.4080056149309325,-0.34217424560498183,-8.555827483840302,0.6677777777777778,0.5114920683091512,7861.111111111111,8.969810438559517,4050.0,8.30671904320269
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/jackal-creek-northriding/jackal-creek-golf-estate/T5407338,2 Bedroom Apartment in Jackal Creek Golf Estate,840000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,2.0,1.0,3.0,1.0,60.0,180.934702041675,2348.0,718.0,"2 Bedroom Apartment in Jackal Creek Golf Estate, Kingsbarns This two-bedroom apartment is located on the first floor with beautiful views of the ind",28 Feb 2026,2026-03-27T16:31:59.232780+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,jackal-creek-northriding,840000.0,10613.0,15140.497975708502,494,12400.0,19322.0406,10000,6650.0,suburb_property_type_bedrooms,0.1,84000.0,0.08,67200.0,151200.0,756000.0,0.11,20,7803.344246362965,0.0,6650.0,2348.0,718.0,0.08,0.05,532.0,332.5,3930.5,2719.5,-5083.844246362965,79800.0,0.095,-61006.130956355584,12,744975.0131141554,95024.9868858446,Weak Investment,0,0,0,0,0,0,0,0,0,0,0,0,6650.0,6650.0,suburb_type_bed,5,2.0,very_low,1,1,0,0,6650.0,79800.0,79800.0,420000.0,840000.0,280000.0,14000.0,4642.558837643656,3325.0,6650.0,110.83333333333333,0.095,10.526315789473685,0.095,0.9,0.1,0.18,1.1734352250169873,1.1734352250169873,0.6284721354883902,0.5910526315789474,0.4089473684210526,-0.7644878565959347,0.3530827067669173,0.10796992481203008,0.08,0.05,-0.40347970209229883,0.03885,-0.07262634637661379,0.11312498438791024,0.5,1.5,0.3316113455459755,1167585.5555555555,10521.944444444445,0.18997678382885086,0.7194333605817133,0.6320124607302199,0.5000611026533907,1354641.1497175142,13953.31450094162,0.21041859756695308,0.6200904203856252,0.4765892720006586,0.4514810054742046,1637326.146076146,14128.548951048951,0.1772200161022868,0.5130315679701695,0.47067820078623723,0.536056829749798,10563.0,1,0,1,1,1,0,1,1,0.03310792037919058,2051.2279620061763,0.8784864524758661,0.095,0.09075436326846414,-0.4034797020922988,-0.3389546543655926,-8.534019677996437,0.5910526315789474,0.4643958296249262,14000.0,9.546884034617925,3325.0,8.109525659752872
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/lonehill/T5144532,1 Bedroom Apartment in Lonehill,830000.0,Lonehill,Sandton,Gauteng,Apartment,1.0,1.0,1.0,1.0,49.0,49.0,2572.0,920.0,"1 Bedroom Apartment in Lonehill, Inviting buyers between R779 000 and R830 000 to view and negotiate This neat and sunny 1-bedroom,",8 Jul 2025,2026-03-27T16:31:56.563255+00:00,for-sale,gauteng,johannesburg-metro,sandton,lonehill,830000.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,7750.0,suburb_property_type_bedrooms,0.1,83000.0,0.08,66400.0,149400.0,747000.0,0.11,20,7710.44729104912,0.0,7750.0,2572.0,920.0,0.08,0.05,620.0,387.5,4499.5,3250.5,-4459.94729104912,93000.0,0.1120481927710843,-53519.367492589445,12,736106.2629580344,93893.7370419656,Weak Investment,0,0,0,0,0,0,0,0,0,0,0,0,7750.0,7715.0,suburb_type_bed,5,10.0,medium,1,0,0,0,7750.0,93000.0,93000.0,830000.0,830000.0,830000.0,16938.775510204083,16938.775510204083,7750.0,7750.0,158.16326530612244,0.11204819277108434,8.924731182795698,0.11204819277108434,0.9,0.1,0.18,0.9948964246514994,0.9948964246514994,0.628472135488391,0.5805806451612904,0.4194193548387097,-0.5754770698127897,0.3318709677419355,0.11870967741935484,0.08,0.05,-0.3582286980762346,0.046995180722891564,-0.06448116565372222,0.11312498438791037,1.0,1.0,1.0,2114823.2891566264,17568.47389558233,0.14841231340743913,0.3924677793438699,0.44113108776902765,0.7549790862937112,2073319.3540041067,18075.79199178645,0.16818099316457003,0.40032424257124644,0.4287502314433338,0.6662357657826522,1637326.146076146,14128.548951048951,0.1772200161022868,0.5069240493038579,0.5485347452771938,0.6322547262743334,14094.0,1,0,1,1,1,0,1,1,0.04723625450694871,1597.6811115611556,1.1239931301023318,0.1120481927710843,0.1062035337122085,-0.3582286980762346,-0.30618142296647677,-8.403116419557255,0.5805806451612904,0.4577922764659409,16938.775510204083,9.737419716064167,7750.0,8.955577146281511
privateproperty,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/halfway-gardens/T5132495,2 Bedroom Apartment in Halfway Gardens,800000.0,Halfway Gardens,Midrand,Gauteng,Apartment,2.0,1.0,1.0,1.0,71.0,71.0,1406.0,783.0,"2 Bedroom Apartment in Halfway Gardens, Step into this beautifully renovated 2-bedroom, 1-bathroom apartment that blends modern comfort with",27 Jun 2025,2026-03-27T16:31:52.651686+00:00,for-sale,gauteng,johannesburg-metro,midrand,halfway-gardens,800000.0,12000.0,17640.682462139717,2047,12400.0,19322.0406,10000,6625.0,suburb_property_type_bedrooms,0.1,80000.0,0.08,64000.0,144000.0,720000.0,0.11,20,7431.756425107586,0.0,6625.0,1406.0,783.0,0.08,0.05,530.0,331.25,3050.25,3574.75,-3857.0064251075855,79500.0,0.099375,-46284.07710129104,12,709500.0124896717,90499.9875103283,Weak Investment,0,0,0,0,0,0,0,0,0,0,0,0,6625.0,6625.0,suburb_type_bed,5,2.0,very_low,0,0,0,0,6625.0,79500.0,79500.0,400000.0,800000.0,800000.0,11267.605633802817,11267.605633802817,3312.5,6625.0,93.30985915492958,0.099375,10.062893081761006,0.099375,0.9,0.1,0.18,1.1217745547332205,1.1217745547332205,0.628472135488391,0.46041509433962263,0.5395849056603773,-0.5821896490728431,0.21222641509433962,0.11818867924528302,0.08,0.05,-0.3214172020922989,0.05362125,-0.057855096376613804,0.11312498438791037,0.5,0.5,1.0,1918710.1449275361,12798.188405797102,0.12325432951294578,0.4169467713062066,0.5176513886136511,0.8062597102486557,1690459.6613603474,14049.74493487699,0.1590292019343002,0.47324406389929685,0.4715388094736258,0.6248852336003977,1637326.146076146,14128.548951048951,0.1772200161022868,0.48860149330492336,0.46890873386598825,0.5607436574356439,12511.0,1,0,1,1,0,0,1,1,0.04780038000839853,1239.7082136101,1.2415287135860487,0.099375,0.09474183650968557,-0.3214172020922989,-0.27870479860996333,-8.257905858862832,0.46041509433962263,0.37872070650299955,11267.605633802817,9.3297758756707,3312.5,8.105760311528282
