purchase_price,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,purchase_price_rands,rent_median_suburb_type_bed,rent_mean_suburb_type_bed,rent_count_suburb_type_bed,rent_median_suburb_bed,rent_mean_suburb_bed,rent_count_suburb_bed,rent_median_suburb,rent_mean_suburb,rent_count_suburb,rent_median_city_type_bed,rent_mean_city_type_bed,rent_count_city_type_bed,rent_median_city,rent_mean_city,rent_count_city,rent_median_province,rent_mean_province,rent_count_province,estimated_monthly_rent,rent_estimation_source,deposit_pct,deposit_amount,transfer_cost_rate,transfer_costs,total_cash_invested,loan_amount,annual_interest_rate,loan_term_years,bond_payment,other_income,gross_income,levies_clean,rates_taxes_clean,maintenance_rate,vacancy_rate,maintenance_cost,vacancy_cost,total_expenses,annual_rent,total_rooms_proxy,floor_to_land_ratio,bedroom_density_floor,bathroom_density_floor,parking_total,parking_per_bedroom,is_compact_unit,is_family_sized_unit,is_large_land_property,price_per_sqm,price_per_land_sqm,price_per_bedroom,price_per_bathroom,price_vs_suburb_median_rent_multiple,price_vs_city_median_rent_multiple,suburb_type_median_price_per_sqm,price_per_sqm_vs_local_median,rent_per_sqm,rent_per_bedroom,rent_per_bathroom,gross_rent_to_price,monthly_rent_to_price,rent_vs_suburb_median,rent_vs_city_median,rent_vs_province_median,rent_vs_suburb_type_bed_median,rent_vs_suburb_bed_median,annual_rent_per_sqm,levies_to_rent,rates_to_rent,bond_to_rent,maintenance_to_rent,vacancy_to_rent,opex_to_rent,opex_to_income,fixed_cost_burden,non_debt_opex,non_debt_opex_to_rent,ltv,deposit_to_price,cash_invested_to_price,transfer_costs_to_price,bond_payment_to_income,rent_source_score,rent_estimate_observation_count,rent_estimate_low_evidence_flag,rent_estimate_high_evidence_flag,rent_dispersion_suburb_type_bed,rent_dispersion_suburb,rent_dispersion_city,suburb_listing_density,city_listing_density,property_type_density,suburb_price_median,city_price_median,price_vs_suburb_price_median,price_vs_city_price_median,suburb_rent_median_feature,city_rent_median_feature,rent_vs_suburb_internal_median,rent_vs_city_internal_median,floor_area_sqm_missing_flag,land_area_sqm_missing_flag,garage_missing_flag,parking_spaces_missing_flag,rent_median_suburb_type_bed_missing_flag,rent_median_suburb_bed_missing_flag,rent_median_suburb_missing_flag,rent_median_city_type_bed_missing_flag,price_per_sqm_win,price_per_land_sqm_win,rent_per_sqm_win,gross_rent_to_price_win,monthly_rent_to_price_win,levies_to_rent_win,rates_to_rent_win,bond_to_rent_win,opex_to_rent_win,cash_flow_margin_win,ltv_win,bond_payment_to_income_win,debt_service_headroom_win,price_per_sqm_vs_local_median_win,rent_vs_suburb_median_win,rent_vs_city_median_win,price_vs_suburb_price_median_win,price_vs_city_price_median_win,rent_mean_suburb_type_bed_missing_flag,rent_count_suburb_type_bed_missing_flag,rent_mean_suburb_bed_missing_flag,rent_count_suburb_bed_missing_flag,rent_mean_suburb_missing_flag,rent_count_suburb_missing_flag,rent_mean_city_type_bed_missing_flag,rent_count_city_type_bed_missing_flag,floor_to_land_ratio_missing_flag,bedroom_density_floor_missing_flag,bathroom_density_floor_missing_flag,parking_per_bedroom_missing_flag,price_per_sqm_missing_flag,price_per_land_sqm_missing_flag,price_per_bedroom_missing_flag,price_vs_suburb_median_rent_multiple_missing_flag,price_per_sqm_vs_local_median_missing_flag,rent_per_sqm_missing_flag,rent_per_bedroom_missing_flag,rent_vs_suburb_median_missing_flag,rent_vs_suburb_type_bed_median_missing_flag,rent_vs_suburb_bed_median_missing_flag,annual_rent_per_sqm_missing_flag,rent_dispersion_suburb_type_bed_missing_flag,rent_dispersion_suburb_missing_flag,price_per_sqm_win_missing_flag,price_per_land_sqm_win_missing_flag,rent_per_sqm_win_missing_flag,price_per_sqm_vs_local_median_win_missing_flag,rent_vs_suburb_median_win_missing_flag,investment_label
890000.0,Broadacres,Sandton,Gauteng,Apartment,2.0,2.0,1.0,,85.0,5.0,2693.0,840.0,890000.0,10700.0,12899.923076923076,13.0,12100.0,14079.971428571427,35.0,15950.0,18588.669811320757,106.0,10750.0,15520.06779661017,354.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,10700.0,suburb_property_type_bedrooms,0.1,89000.0,0.08,71200.0,160200.0,801000.0,0.11,20,8267.82902293219,0.0,10700.0,2693.0,840.0,0.08,0.05,856.0,535.0,4924.0,128400.0,4.0,17.0,0.023529411764705882,0.023529411764705882,1.0,0.5,0,0,0,10470.588235294117,178000.0,445000.0,445000.0,4.649947753396029,3.726968174204355,14734.04255319149,0.710639201528987,125.88235294117646,5350.0,5350.0,0.14426966292134832,0.01202247191011236,0.670846394984326,0.5376884422110553,0.8629032258064516,1.0,0.8842975206611571,1510.5882352941176,0.2516822429906542,0.07850467289719626,0.7726943012086159,0.08,0.05,0.4601869158878505,0.4601869158878505,1.1028812170964664,-3343.82902293219,-0.31250738532076544,0.9,0.1,0.18,0.08,0.7726943012086159,5,13.0,0,0,0.20560028756290433,0.1654338439699534,0.3891090049403133,105,2435,3638,2300000.0,1513000.0,0.3869565217391304,0.5882352941176471,15800.0,13700.0,0.6772151898734177,0.781021897810219,0,0,1,0,0,0,0,0,10470.588235294117,178000.0,125.88235294117646,0.14426966292134832,0.01202247191011236,0.2516822429906542,0.07850467289719626,0.7726943012086159,0.4601869158878505,-0.23288121709646636,0.9,0.7726943012086159,-0.30138855266850473,0.710639201528987,0.670846394984326,0.5376884422110553,0.3869565217391304,0.5882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weak Investment
885000.0,Sundowner,North Riding To Lanseria,Gauteng,Apartment,2.0,1.0,1.0,,105.0,,1741.5,446.0,885000.0,,,,18200.0,17883.333333333332,6.0,20350.0,21887.5,16.0,8800.0,8967.151515151516,33.0,10613.0,15140.497975708502,494,12400.0,19322.0406,10000,18200.0,suburb_bedrooms,0.1,88500.0,0.08,70800.0,159300.0,796500.0,0.11,20,8221.380545275268,0.0,18200.0,1741.5,446.0,0.08,0.05,1456.0,910.0,4553.5,218400.0,3.0,,0.01904761904761905,0.009523809523809525,1.0,0.5,0,0,0,8428.57142857143,,442500.0,885000.0,3.6240786240786242,6.949024780929049,8750.05385234189,0.9632593776912105,173.33333333333334,9100.0,18200.0,0.24677966101694915,0.02056497175141243,0.8943488943488943,1.71487797983605,1.467741935483871,,1.0,2080.0,0.09568681318681319,0.024505494505494507,0.45172420578435535,0.08,0.05,0.2501923076923077,0.2501923076923077,0.5719165134766631,-3667.8805452752677,-0.20153189809204766,0.9,0.1,0.18,0.08,0.45172420578435535,4,6.0,1,0,,0.07555282555282555,0.42659926276345067,98,1062,3638,882000.0,1089500.0,1.0034013605442176,0.812299219825608,18200.0,9750.0,1.0,1.8666666666666667,0,1,1,0,1,0,0,0,8428.57142857143,,173.33333333333334,0.24677966101694915,0.02056497175141243,0.09568681318681319,0.024505494505494507,0.45172420578435535,0.2501923076923077,0.29808348652333694,0.9,0.45172420578435535,0.6598793748627152,0.9632593776912105,0.8943488943488943,1.71487797983605,1.0034013605442176,0.812299219825608,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Strong Investment
880000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,2.0,2.0,3.0,,71.0,,2696.0,540.0,880000.0,6650.0,6650.0,2.0,9050.0,11570.0,5.0,16000.0,13813.793103448275,29.0,8800.0,8967.151515151516,33.0,10613.0,15140.497975708502,494,12400.0,19322.0406,10000,6650.0,suburb_property_type_bedrooms,0.1,88000.0,0.08,70400.0,158400.0,792000.0,0.11,20,8174.932067618345,0.0,6650.0,2696.0,540.0,0.08,0.05,532.0,332.5,4100.5,79800.0,4.0,,0.028169014084507043,0.028169014084507043,3.0,1.5,1,0,0,12394.366197183099,,440000.0,440000.0,4.583333333333333,6.909764753918151,12233.858985750772,1.013119916750657,93.66197183098592,3325.0,3325.0,0.09068181818181818,0.007556818181818182,0.415625,0.6265900310939414,0.5362903225806451,1.0,0.7348066298342542,1123.943661971831,0.40541353383458645,0.081203007518797,1.2293130928749392,0.08,0.05,0.6166165413533835,0.6166165413533835,1.7159296342283226,-4074.432067618345,-0.6126965515215557,0.9,0.1,0.18,0.08,1.2293130928749392,5,2.0,1,0,0.0,-0.1366379310344828,0.42659926276345067,180,1062,3638,824500.0,1089500.0,1.0673135233474833,0.8077099586966499,6800.0,9750.0,0.9779411764705882,0.6820512820512821,0,1,1,0,0,0,0,0,12394.366197183099,,93.66197183098592,0.09068181818181818,0.007556818181818182,0.40541353383458645,0.081203007518797,1.2293130928749392,0.6166165413533835,-0.8459296342283226,0.9,1.2293130928749392,-0.6881319650228284,1.013119916750657,0.415625,0.6265900310939414,1.0673135233474833,0.8077099586966499,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Weak Investment
860000.0,Braamfontein,Johannesburg Central,Gauteng,Apartment,2.0,1.0,,,90.0,,2517.0,568.0,860000.0,4900.0,5544.0,25.0,5600.0,6809.677419354839,31.0,5475.0,6749.206349206349,126.0,5325.0,6985.715053763441,186.0,5900.0,9605.523189585028,1229,12400.0,19322.0406,10000,4900.0,suburb_property_type_bedrooms,0.1,86000.0,0.08,68800.0,154800.0,774000.0,0.11,20,7989.138156990655,0.0,4900.0,2517.0,568.0,0.08,0.05,392.0,245.0,3722.0,58800.0,3.0,,0.022222222222222223,0.011111111111111112,0.0,0.0,0,0,0,9555.555555555555,,430000.0,860000.0,13.089802130898022,12.146892655367232,14605.20482648643,0.6542568672660192,54.44444444444444,2450.0,4900.0,0.06837209302325581,0.005697674418604651,0.8949771689497716,0.8305084745762712,0.3951612903225806,1.0,0.875,653.3333333333334,0.5136734693877552,0.11591836734693878,1.6304363585695214,0.08,0.05,0.7595918367346939,0.7595918367346939,2.260028195304215,-4267.138156990655,-0.8708445218348276,0.9,0.1,0.18,0.08,1.6304363585695214,5,25.0,0,0,0.13142857142857142,0.23273175327969844,0.6280547778957675,6,248,3638,1004500.0,821500.0,0.8561473369835739,1.046865489957395,4900.0,7175.0,1.0,0.6829268292682927,0,1,1,1,0,0,0,0,9555.555555555555,,54.44444444444444,0.06837209302325581,0.005697674418604651,0.5136734693877552,0.11591836734693878,1.6304363585695214,0.7595918367346939,-1.3900281953042153,0.9,1.6304363585695214,-0.8525498023877299,0.6542568672660192,0.8949771689497716,0.8305084745762712,0.8561473369835739,1.046865489957395,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Weak Investment
850000.0,Lonehill,Sandton,Gauteng,Apartment,2.0,1.0,1.0,,67.0,67.0,2103.0,830.0,850000.0,7700.0,13850.0,5.0,18050.0,19602.08333333333,24.0,20000.0,22960.714285714286,112.0,10750.0,15520.06779661017,354.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,7700.0,suburb_property_type_bedrooms,0.1,85000.0,0.08,68000.0,153000.0,765000.0,0.11,20,7896.241201676811,0.0,7700.0,2103.0,830.0,0.08,0.05,616.0,385.0,3934.0,92400.0,3.0,1.0,0.029850746268656716,0.014925373134328358,1.0,0.5,1,0,0,12686.567164179105,12686.567164179105,425000.0,850000.0,3.5416666666666665,3.559463986599665,14157.036320501713,0.8961315685689718,114.92537313432835,3850.0,7700.0,0.10870588235294118,0.009058823529411765,0.385,0.3869346733668342,0.6209677419354839,1.0,0.4265927977839335,1379.1044776119404,0.2731168831168831,0.10779220779220779,1.0254858703476377,0.08,0.05,0.5109090909090909,0.5109090909090909,1.4063949612567286,-3962.241201676811,-0.514576779438547,0.9,0.1,0.18,0.08,1.0254858703476377,5,5.0,1,0,0.7987012987012987,0.1480357142857143,0.3891090049403133,249,2435,3638,1685000.0,1513000.0,0.5044510385756676,0.5617977528089888,18700.0,13700.0,0.4117647058823529,0.5620437956204379,0,0,1,0,0,0,0,0,12686.567164179105,12686.567164179105,114.92537313432835,0.10870588235294118,0.009058823529411765,0.2731168831168831,0.10779220779220779,1.0254858703476377,0.5109090909090909,-0.5363949612567287,0.9,1.0254858703476377,-0.5230642145024308,0.8961315685689718,0.385,0.3869346733668342,0.5044510385756676,0.5617977528089888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weak Investment
850000.0,Petervale,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,44.0,44.0,2000.0,1800.0,850000.0,,,,,,,,,,8700.0,11180.76059850374,401.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,8700.0,city_property_type_bedrooms,0.1,85000.0,0.08,68000.0,153000.0,765000.0,0.11,20,7896.241201676811,0.0,8700.0,2000.0,1800.0,0.08,0.05,696.0,435.0,4931.0,104400.0,2.0,1.0,0.022727272727272728,0.022727272727272728,1.0,1.0,1,0,0,19318.18181818182,19318.18181818182,850000.0,850000.0,,3.559463986599665,14668.691834490422,1.3169669140338114,197.72727272727272,8700.0,8700.0,0.1228235294117647,0.01023529411764706,,0.4371859296482412,0.7016129032258065,,,2372.7272727272725,0.22988505747126436,0.20689655172413793,0.9076139312272197,0.08,0.05,0.5667816091954023,0.5667816091954023,1.3443955404226218,-2965.241201676811,-0.3408323220318174,0.9,0.1,0.18,0.08,0.9076139312272197,2,401.0,0,1,,,0.3891090049403133,23,2435,3638,1485000.0,1513000.0,0.5723905723905723,0.5617977528089888,10500.0,13700.0,0.8285714285714286,0.635036496350365,0,0,1,0,1,1,1,0,19318.18181818182,19318.18181818182,197.72727272727272,0.1228235294117647,0.01023529411764706,0.22988505747126436,0.20689655172413793,0.9076139312272197,0.5667816091954023,-0.474395540422622,0.9,0.9076139312272197,-0.5226842868984762,1.3169669140338114,,0.4371859296482412,0.5723905723905723,0.5617977528089888,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,Weak Investment
849000.0,Sunninghill,Sandton,Gauteng,Apartment,2.0,1.0,1.0,1.0,108.0,108.0,3500.0,856.0,849000.0,8100.0,8213.513513513513,37.0,8690.0,9518.367346938776,49.0,8100.0,11274.144144144144,222.0,10750.0,15520.06779661017,354.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,8100.0,suburb_property_type_bedrooms,0.1,84900.0,0.08,67920.0,152820.0,764100.0,0.11,20,7886.951506145426,0.0,8100.0,3500.0,856.0,0.08,0.05,648.0,405.0,5409.0,97200.0,3.0,1.0,0.018518518518518517,0.009259259259259259,2.0,1.0,0,0,0,7861.111111111111,7861.111111111111,424500.0,849000.0,8.734567901234568,3.5552763819095476,9368.454484941813,0.8391043713503121,75.0,4050.0,8100.0,0.11448763250883393,0.009540636042402828,1.0,0.40703517587939697,0.6532258064516129,1.0,0.9321058688147296,900.0,0.43209876543209874,0.10567901234567902,0.9736977168080773,0.08,0.05,0.6677777777777778,0.6677777777777778,1.511475494585855,-2477.951506145426,-0.30591993903029946,0.9,0.1,0.18,0.08,0.9736977168080773,5,37.0,0,1,0.01401401401401399,0.39186964742520297,0.3891090049403133,89,2435,3638,899000.0,1513000.0,0.9443826473859844,0.5611368142762723,8100.0,13700.0,1.0,0.5912408759124088,0,0,0,0,0,0,0,0,7861.111111111111,7861.111111111111,75.0,0.11448763250883393,0.009540636042402828,0.43209876543209874,0.10567901234567902,0.9736977168080773,0.6677777777777778,-0.6414754945858551,0.9,0.9736977168080773,-0.6588035316429672,0.8391043713503121,1.0,0.40703517587939697,0.9443826473859844,0.5611368142762723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weak Investment
840000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,2.0,1.0,3.0,,60.0,,2348.0,718.0,840000.0,6650.0,6650.0,2.0,9050.0,11570.0,5.0,16000.0,13813.793103448275,29.0,8800.0,8967.151515151516,33.0,10613.0,15140.497975708502,494,12400.0,19322.0406,10000,6650.0,suburb_property_type_bedrooms,0.1,84000.0,0.08,67200.0,151200.0,756000.0,0.11,20,7803.344246362965,0.0,6650.0,2348.0,718.0,0.08,0.05,532.0,332.5,3930.5,79800.0,3.0,,0.03333333333333333,0.016666666666666666,3.0,1.5,1,0,0,14000.0,,420000.0,840000.0,4.375,6.595684537830962,12233.858985750772,1.144364996875174,110.83333333333333,3325.0,6650.0,0.095,0.007916666666666667,0.415625,0.6265900310939414,0.5362903225806451,1.0,0.7348066298342542,1330.0,0.3530827067669173,0.10796992481203008,1.1734352250169873,0.08,0.05,0.5910526315789474,0.5910526315789474,1.6344878565959347,-3872.8442463629654,-0.5823825934380399,0.9,0.1,0.18,0.08,1.1734352250169873,5,2.0,1,0,0.0,-0.1366379310344828,0.42659926276345067,180,1062,3638,824500.0,1089500.0,1.018799272286234,0.7709958696649839,6800.0,9750.0,0.9779411764705882,0.6820512820512821,0,1,1,0,0,0,0,0,14000.0,,110.83333333333333,0.095,0.007916666666666667,0.3530827067669173,0.10796992481203008,1.1734352250169873,0.5910526315789474,-0.7644878565959347,0.9,1.1734352250169873,-0.6514955749558886,1.144364996875174,0.415625,0.6265900310939414,1.018799272286234,0.7709958696649839,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Weak Investment
830000.0,Lonehill,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,49.0,49.0,2572.0,920.0,830000.0,7750.0,7715.0,10.0,9375.0,11703.125,16.0,20000.0,22960.714285714286,112.0,8700.0,11180.76059850374,401.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,7750.0,suburb_property_type_bedrooms,0.1,83000.0,0.08,66400.0,149400.0,747000.0,0.11,20,7710.44729104912,0.0,7750.0,2572.0,920.0,0.08,0.05,620.0,387.5,4499.5,93000.0,2.0,1.0,0.02040816326530612,0.02040816326530612,1.0,1.0,1,0,0,16938.775510204083,16938.775510204083,830000.0,830000.0,3.4583333333333335,3.47571189279732,14157.036320501713,1.1964916333282238,158.16326530612244,7750.0,7750.0,0.11204819277108434,0.009337349397590362,0.3875,0.38944723618090454,0.625,1.0,0.8266666666666667,1897.9591836734694,0.3318709677419355,0.11870967741935484,0.9948964246514994,0.08,0.05,0.5805806451612904,0.5805806451612904,1.4454770698127897,-3210.9472910491204,-0.4143157794902091,0.9,0.1,0.18,0.08,0.9948964246514994,5,10.0,0,0,-0.004516129032258065,0.1480357142857143,0.3891090049403133,249,2435,3638,1685000.0,1513000.0,0.49258160237388726,0.5485789821546596,18700.0,13700.0,0.4144385026737968,0.5656934306569343,0,0,1,0,0,0,0,0,16938.775510204083,16938.775510204083,158.16326530612244,0.11204819277108434,0.009337349397590362,0.3318709677419355,0.11870967741935484,0.9948964246514994,0.5805806451612904,-0.5754770698127897,0.9,0.9948964246514994,-0.5784291264433608,1.1964916333282238,0.3875,0.38944723618090454,0.49258160237388726,0.5485789821546596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weak Investment
800000.0,Halfway Gardens,Midrand,Gauteng,Apartment,2.0,1.0,1.0,1.0,71.0,71.0,1406.0,783.0,800000.0,6625.0,6625.0,2.0,13600.0,13434.782608695652,23.0,14800.0,16085.416666666666,120.0,10100.0,11567.956112852664,319.0,12000.0,17640.682462139717,2047,12400.0,19322.0406,10000,6625.0,suburb_property_type_bedrooms,0.1,80000.0,0.08,64000.0,144000.0,720000.0,0.11,20,7431.756425107586,0.0,6625.0,1406.0,783.0,0.08,0.05,530.0,331.25,3050.25,79500.0,3.0,1.0,0.028169014084507043,0.014084507042253521,2.0,1.0,1,0,0,11267.605633802817,11267.605633802817,400000.0,800000.0,4.504504504504505,5.555555555555555,9054.354534443464,1.2444405165426178,93.30985915492958,3312.5,6625.0,0.099375,0.00828125,0.44763513513513514,0.5520833333333334,0.5342741935483871,1.0,0.48713235294117646,1119.718309859155,0.21222641509433962,0.11818867924528302,1.1217745547332205,0.08,0.05,0.46041509433962263,0.46041509433962263,1.4521896490728432,-4381.506425107586,-0.6613594603935979,0.9,0.1,0.18,0.08,1.1217745547332205,5,2.0,1,0,0.0,0.08685247747747743,0.4700568718449764,69,1382,3638,2272000.0,1282000.0,0.352112676056338,0.62402496099844,14400.0,10550.0,0.4600694444444444,0.6279620853080569,0,0,0,0,0,0,0,0,11267.605633802817,11267.605633802817,93.30985915492958,0.099375,0.00828125,0.21222641509433962,0.11818867924528302,1.1217745547332205,0.46041509433962263,-0.5821896490728431,0.9,1.1217745547332205,-0.5189898867079394,1.2444405165426178,0.44763513513513514,0.5520833333333334,0.352112676056338,0.62402496099844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Weak Investment
